street_name,home,corps,district_name,district_short,district_latin
ул. Абрикосовая,1,"",Советский,Сов,Sov
ул. Абрикосовая,3,"",Советский,Сов,Sov
ул. Абрикосовая,5,"",Советский,Сов,Sov
ул. Абрикосовая,7,"",Советский,Сов,Sov
ул. Авакяна,19,"",Октябрьский,Окт,Okt
ул. Авакяна,23,"",Октябрьский,Окт,Okt
ул. Авакяна,24,"",Октябрьский,Окт,Okt
ул. Авакяна,26,"",Октябрьский,Окт,Okt
ул. Авакяна,28,"",Октябрьский,Окт,Okt
ул. Авакяна,30,А,Октябрьский,Окт,Okt
ул. Авакяна,30,К1,Октябрьский,Окт,Okt
ул. Авакяна,30,К2,Октябрьский,Окт,Okt
ул. Авакяна,30,К3,Октябрьский,Окт,Okt
ул. Авакяна,32,"",Октябрьский,Окт,Okt
ул. Авакяна,32,К2,Октябрьский,Окт,Okt
ул. Авакяна,32,К3,Октябрьский,Окт,Okt
ул. Авакяна,32,К3,Октябрьский,Окт,Okt
ул. Авакяна,33,"",Октябрьский,Окт,Okt
ул. Авакяна,34,"",Октябрьский,Окт,Okt
ул. Авакяна,34,К2,Октябрьский,Окт,Okt
ул. Авакяна,34,К3,Октябрьский,Окт,Okt
ул. Авакяна,35,"",Октябрьский,Окт,Okt
ул. Авакяна,36,К1,Октябрьский,Окт,Okt
ул. Авакяна,36,К2,Октябрьский,Окт,Okt
ул. Авакяна,37,"",Октябрьский,Окт,Okt
ул. Авакяна,38,"",Октябрьский,Окт,Okt
ул. Авакяна,39,"",Октябрьский,Окт,Okt
ул. Авакяна,41,"",Октябрьский,Окт,Okt
ул. Авакяна,43,"",Октябрьский,Окт,Okt
ул. Авакяна,45,"",Октябрьский,Окт,Okt
ул. Авакяна,47,"",Октябрьский,Окт,Okt
ул. Авакяна,49,"",Октябрьский,Окт,Okt
ул. Авакяна,51,"",Октябрьский,Окт,Okt
ул. Авакяна,53,"",Октябрьский,Окт,Okt
ул. Авакяна,57,"",Октябрьский,Окт,Okt
ул. Авакяна,59,"",Октябрьский,Окт,Okt
ул. Авакяна,61,"",Октябрьский,Окт,Okt
ул. Авакяна,63,"",Октябрьский,Окт,Okt
ул. Авакяна,67,"",Октябрьский,Окт,Okt
ул. Авакяна,69,"",Октябрьский,Окт,Okt
ул. Авангардная,1,А,Партизанский,Пар,Par
ул. Авангардная,2,"",Партизанский,Пар,Par
ул. Авангардная,4,"",Партизанский,Пар,Par
ул. Авангардная,6,"",Партизанский,Пар,Par
ул. Авангардная,9,"",Партизанский,Пар,Par
ул. Авангардная,14,"",Партизанский,Пар,Par
ул. Авангардная,15,"",Партизанский,Пар,Par
